id,user_id,task_id,model_type,version,parameters,performance,status,trained_at,created_at,updated_at
1,1,1,performance_forecast,v1.1,"{""model_type"": ""performance_forecast"", ""learning_rate"": 0.0077, ""epochs"": 172, ""batch_size"": 16, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-6"", ""features"": 15, ""hidden_layers"": 2}","{""accuracy"": 0.7392, ""precision"": 0.7025, ""recall"": 0.7092, ""f1_score"": 0.699, ""training_loss"": 0.2664, ""validation_loss"": 0.3}",training,2024-02-08T16:00:00Z,2024-02-08T00:00:00Z,2024-02-08T00:00:00Z
2,1,2,skill_prediction,v1.2,"{""model_type"": ""skill_prediction"", ""learning_rate"": 0.0028, ""epochs"": 193, ""batch_size"": 64, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-7"", ""features"": 35, ""hidden_layers"": 3}","{""accuracy"": 0.7568, ""precision"": 0.7281, ""recall"": 0.7283, ""f1_score"": 0.7266, ""training_loss"": 0.2256, ""validation_loss"": 0.0804}",training,2024-02-12T00:00:00Z,2024-02-11T00:00:00Z,2024-02-11T00:00:00Z
3,1,3,learning_path,v1.3,"{""model_type"": ""learning_path"", ""learning_rate"": 0.008, ""epochs"": 196, ""batch_size"": 32, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-8"", ""features"": 20, ""hidden_layers"": 4}","{""accuracy"": 0.7561, ""precision"": 0.7362, ""recall"": 0.7216, ""f1_score"": 0.7629, ""training_loss"": 0.2173, ""validation_loss"": 0.1705}",training,2024-02-15T00:00:00Z,2024-02-14T00:00:00Z,2024-02-14T00:00:00Z
4,1,4,efficiency_optimization,v1.4,"{""model_type"": ""efficiency_optimization"", ""learning_rate"": 0.006, ""epochs"": 61, ""batch_size"": 16, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-9"", ""features"": 13, ""hidden_layers"": 2}","{""accuracy"": 0.7757, ""precision"": 0.7971, ""recall"": 0.8101, ""f1_score"": 0.7542, ""training_loss"": 0.0549, ""validation_loss"": 0.1182}",training,2024-02-17T21:00:00Z,2024-02-17T00:00:00Z,2024-02-17T00:00:00Z
5,1,5,skill_prediction,v2.0,"{""model_type"": ""skill_prediction"", ""learning_rate"": 0.0053, ""epochs"": 51, ""batch_size"": 16, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-10"", ""features"": 22, ""hidden_layers"": 4}","{""accuracy"": 0.808, ""precision"": 0.7721, ""recall"": 0.8269, ""f1_score"": 0.8278, ""training_loss"": 0.2586, ""validation_loss"": 0.3486}",ready,2024-02-20T11:00:00Z,2024-02-20T00:00:00Z,2024-02-20T00:00:00Z
6,1,6,performance_forecast,v2.1,"{""model_type"": ""performance_forecast"", ""learning_rate"": 0.0041, ""epochs"": 194, ""batch_size"": 16, ""coefficient_focus"": ""理解度"", ""level_range"": ""1-11"", ""features"": 48, ""hidden_layers"": 5}","{""accuracy"": 0.8356, ""precision"": 0.8464, ""recall"": 0.7834, ""f1_score"": 0.8364, ""training_loss"": 0.1937, ""validation_loss"": 0.0861}",ready,2024-02-24T00:00:00Z,2024-02-23T00:00:00Z,2024-02-23T00:00:00Z
7,1,7,performance_forecast,v2.2,"{""model_type"": ""performance_forecast"", ""learning_rate"": 0.0041, ""epochs"": 143, ""batch_size"": 64, ""coefficient_focus"": ""理解度"", ""level_range"": ""2-12"", ""features"": 35, ""hidden_layers"": 2}","{""accuracy"": 0.8649, ""precision"": 0.8612, ""recall"": 0.8158, ""f1_score"": 0.8254, ""training_loss"": 0.0678, ""validation_loss"": 0.2766}",ready,2024-02-26T19:00:00Z,2024-02-26T00:00:00Z,2024-02-26T00:00:00Z
8,1,8,adaptive_training,v2.3,"{""model_type"": ""adaptive_training"", ""learning_rate"": 0.0023, ""epochs"": 137, ""batch_size"": 32, ""coefficient_focus"": ""理解度"", ""level_range"": ""3-13"", ""features"": 33, ""hidden_layers"": 4}","{""accuracy"": 0.8934, ""precision"": 0.856, ""recall"": 0.833, ""f1_score"": 0.8446, ""training_loss"": 0.1305, ""validation_loss"": 0.1289}",ready,2024-02-29T09:00:00Z,2024-02-29T00:00:00Z,2024-02-29T00:00:00Z
9,1,9,performance_forecast,v2.4,"{""model_type"": ""performance_forecast"", ""learning_rate"": 0.0057, ""epochs"": 166, ""batch_size"": 32, ""coefficient_focus"": ""理解度"", ""level_range"": ""4-14"", ""features"": 19, ""hidden_layers"": 5}","{""accuracy"": 0.8603, ""precision"": 0.8903, ""recall"": 0.893, ""f1_score"": 0.8852, ""training_loss"": 0.2856, ""validation_loss"": 0.2401}",ready,2024-03-03T03:00:00Z,2024-03-03T00:00:00Z,2024-03-03T00:00:00Z
10,1,10,adaptive_training,v3.0,"{""model_type"": ""adaptive_training"", ""learning_rate"": 0.007, ""epochs"": 103, ""batch_size"": 32, ""coefficient_focus"": ""理解度"", ""level_range"": ""5-15"", ""features"": 16, ""hidden_layers"": 2}","{""accuracy"": 0.9076, ""precision"": 0.9229, ""recall"": 0.9277, ""f1_score"": 0.8865, ""training_loss"": 0.1634, ""validation_loss"": 0.1416}",ready,2024-03-06T10:00:00Z,2024-03-06T00:00:00Z,2024-03-06T00:00:00Z
