id,name,user_id,task_id,task_type,category,pattern,frequency,accuracy,impact_score,last_seen,created_at,updated_at
1,作業リズムパターン_効率5%,1,1,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 1, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",8,0.595,0.427,2024-02-07T07:00:00Z,2024-02-07T00:00:00Z,2024-02-07T00:00:00Z
2,作業リズムパターン_効率10%,1,2,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 2, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",13,0.666,0.603,2024-02-10T06:00:00Z,2024-02-10T00:00:00Z,2024-02-10T00:00:00Z
3,時間管理パターン_最適化L3,1,3,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 3, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",23,0.698,0.624,2024-02-14T05:00:00Z,2024-02-13T00:00:00Z,2024-02-13T00:00:00Z
4,作業リズムパターン_効率20%,1,4,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 4, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",25,0.673,0.618,2024-02-17T00:00:00Z,2024-02-16T00:00:00Z,2024-02-16T00:00:00Z
5,エラー傾向パターン_頻度15,1,5,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 5, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",23,0.719,0.589,2024-02-19T09:00:00Z,2024-02-19T00:00:00Z,2024-02-19T00:00:00Z
6,エラー傾向パターン_頻度14,1,6,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 6, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",24,0.704,0.689,2024-02-22T16:00:00Z,2024-02-22T00:00:00Z,2024-02-22T00:00:00Z
7,成功要因パターン_達成率35%,1,7,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 7, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",36,0.802,0.655,2024-02-25T20:00:00Z,2024-02-25T00:00:00Z,2024-02-25T00:00:00Z
8,エラー傾向パターン_頻度12,1,8,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 8, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",42,0.784,0.694,2024-02-29T12:00:00Z,2024-02-28T00:00:00Z,2024-02-28T00:00:00Z
9,成功要因パターン_達成率45%,1,9,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 9, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",33,0.861,0.656,2024-03-03T22:00:00Z,2024-03-02T00:00:00Z,2024-03-02T00:00:00Z
10,理解度型学習パターン_L10,1,10,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 10, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""応用重視"", ""実践的アプローチ"", ""問題解決型""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",35,0.894,0.679,2024-03-06T01:00:00Z,2024-03-05T00:00:00Z,2024-03-05T00:00:00Z
11,エラー傾向パターン_頻度9,1,11,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 11, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""高度な最適化"", ""予防的対応"", ""ミス最小化""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",52,0.869,0.737,2024-03-09T06:00:00Z,2024-03-08T00:00:00Z,2024-03-08T00:00:00Z
12,理解度型学習パターン_L12,1,12,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 12, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""応用重視"", ""実践的アプローチ"", ""問題解決型""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",45,0.851,0.706,2024-03-12T22:00:00Z,2024-03-11T00:00:00Z,2024-03-11T00:00:00Z
13,時間管理パターン_最適化L13,1,13,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 13, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",49,0.878,0.749,2024-03-15T22:00:00Z,2024-03-14T00:00:00Z,2024-03-14T00:00:00Z
14,時間管理パターン_最適化L14,1,14,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 14, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",58,0.986,0.781,2024-03-17T13:00:00Z,2024-03-17T00:00:00Z,2024-03-17T00:00:00Z
15,エラー傾向パターン_頻度5,1,15,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 15, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""高度な最適化"", ""予防的対応"", ""ミス最小化""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",60,0.963,0.832,2024-03-21T15:00:00Z,2024-03-20T00:00:00Z,2024-03-20T00:00:00Z
16,理解度型学習パターン_L16,1,16,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 16, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""自律的学習"", ""創造的思考"", ""統合的理解""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",63,1.0,0.941,2024-03-23T20:00:00Z,2024-03-23T00:00:00Z,2024-03-23T00:00:00Z
17,理解度型学習パターン_L17,1,17,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 17, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""自律的学習"", ""創造的思考"", ""統合的理解""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",65,0.981,0.924,2024-03-27T14:00:00Z,2024-03-26T00:00:00Z,2024-03-26T00:00:00Z
18,時間管理パターン_最適化L18,1,18,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 18, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",73,1.0,1.0,2024-03-29T05:00:00Z,2024-03-29T00:00:00Z,2024-03-29T00:00:00Z
19,理解度型学習パターン_L19,1,19,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 19, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""自律的学習"", ""創造的思考"", ""統合的理解""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",65,1.0,0.935,2024-04-02T08:00:00Z,2024-04-01T00:00:00Z,2024-04-01T00:00:00Z
20,成功要因パターン_達成率100%,1,20,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 20, ""coefficient"": ""理解度"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",72,1.0,1.0,2024-04-05T00:00:00Z,2024-04-04T00:00:00Z,2024-04-04T00:00:00Z
21,応用力型学習パターン_L1,2,21,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 1, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""段階的学習"", ""反復練習重視"", ""基礎固め""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",15,0.6,0.447,2024-02-09T14:00:00Z,2024-02-09T00:00:00Z,2024-02-09T00:00:00Z
22,時間管理パターン_最適化L2,2,22,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 2, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",13,0.67,0.461,2024-02-12T05:00:00Z,2024-02-12T00:00:00Z,2024-02-12T00:00:00Z
23,応用力型学習パターン_L3,2,23,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 3, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""段階的学習"", ""反復練習重視"", ""基礎固め""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",22,0.717,0.593,2024-02-15T19:00:00Z,2024-02-15T00:00:00Z,2024-02-15T00:00:00Z
24,作業リズムパターン_効率20%,2,24,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 4, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",26,0.676,0.549,2024-02-18T20:00:00Z,2024-02-18T00:00:00Z,2024-02-18T00:00:00Z
25,応用力型学習パターン_L5,2,25,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 5, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""応用重視"", ""実践的アプローチ"", ""問題解決型""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",21,0.714,0.619,2024-02-21T10:00:00Z,2024-02-21T00:00:00Z,2024-02-21T00:00:00Z
26,作業リズムパターン_効率30%,2,26,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 6, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",31,0.794,0.681,2024-02-24T02:00:00Z,2024-02-24T00:00:00Z,2024-02-24T00:00:00Z
27,作業リズムパターン_効率35%,2,27,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 7, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",31,0.725,0.618,2024-02-27T03:00:00Z,2024-02-27T00:00:00Z,2024-02-27T00:00:00Z
28,応用力型学習パターン_L8,2,28,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 8, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""応用重視"", ""実践的アプローチ"", ""問題解決型""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",34,0.756,0.77,2024-03-02T06:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
29,応用力型学習パターン_L9,2,29,machining,learning_style,"{""pattern_type"": ""learning_style"", ""level"": 9, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""応用重視"", ""実践的アプローチ"", ""問題解決型""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",32,0.775,0.796,2024-03-05T10:00:00Z,2024-03-04T00:00:00Z,2024-03-04T00:00:00Z
30,エラー傾向パターン_頻度10,2,30,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 10, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""高度な最適化"", ""予防的対応"", ""ミス最小化""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",44,0.845,0.793,2024-03-07T10:00:00Z,2024-03-07T00:00:00Z,2024-03-07T00:00:00Z
31,成功要因パターン_達成率55%,2,31,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 11, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",51,0.882,0.724,2024-03-11T06:00:00Z,2024-03-10T00:00:00Z,2024-03-10T00:00:00Z
32,成功要因パターン_達成率60%,2,32,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 12, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",54,0.856,0.837,2024-03-13T18:00:00Z,2024-03-13T00:00:00Z,2024-03-13T00:00:00Z
33,成功要因パターン_達成率65%,2,33,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 13, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",49,0.944,0.884,2024-03-16T04:00:00Z,2024-03-16T00:00:00Z,2024-03-16T00:00:00Z
34,作業リズムパターン_効率70%,2,34,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 14, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",59,0.954,0.769,2024-03-20T09:00:00Z,2024-03-19T00:00:00Z,2024-03-19T00:00:00Z
35,作業リズムパターン_効率75%,2,35,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 15, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",62,1.0,0.929,2024-03-24T00:00:00Z,2024-03-22T00:00:00Z,2024-03-22T00:00:00Z
36,成功要因パターン_達成率80%,2,36,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 16, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",68,0.999,0.854,2024-03-26T20:00:00Z,2024-03-25T00:00:00Z,2024-03-25T00:00:00Z
