id,task_id,type,domain,tacit_knowledge,explicit_form,conversion_path,accuracy,coverage,consistency,abstract_level,created_at,updated_at
kp_1_drill,1,tacit,nc_machining,ドリル加工時の振動と切削音から適切な送り速度を判断する感覚,ドリル加工標準: 回転数表|送り速度基準|振動発生時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_1_endmill,1,tacit,nc_machining,エンドミル加工での負荷変化を切りくず形状と音で判断する技能,エンドミル加工基準: 切削条件表|工具摩耗判断基準|負荷調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_1_lathe,1,tacit,nc_machining,旋盤加工での切削抵抗を音と仕上げ面粗さで判断する技能,旋盤加工標準: 切削速度表|工具角度規格|抵抗増大時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_1_probe,1,tacit,nc_machining,ワーク測定時に接触圧と測定反応から誤差を判断する技能,測定プローブ運用基準: 測定手順|誤差補正表|測定環境条件,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_2_drill,2,tacit,nc_machining,ドリル加工時の振動と切削音から適切な送り速度を判断する感覚,ドリル加工標準: 回転数表|送り速度基準|振動発生時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_2_endmill,2,tacit,nc_machining,エンドミル加工での負荷変化を切りくず形状と音で判断する技能,エンドミル加工基準: 切削条件表|工具摩耗判断基準|負荷調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_2_lathe,2,tacit,nc_machining,旋盤加工での切削抵抗を音と仕上げ面粗さで判断する技能,旋盤加工標準: 切削速度表|工具角度規格|抵抗増大時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_2_probe,2,tacit,nc_machining,ワーク測定時に接触圧と測定反応から誤差を判断する技能,測定プローブ運用基準: 測定手順|誤差補正表|測定環境条件,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_3_drill,3,tacit,nc_machining,ドリル加工時の振動と切削音から適切な送り速度を判断する感覚,ドリル加工標準: 回転数表|送り速度基準|振動発生時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_3_endmill,3,tacit,nc_machining,エンドミル加工での負荷変化を切りくず形状と音で判断する技能,エンドミル加工基準: 切削条件表|工具摩耗判断基準|負荷調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
kp_3_lathe,3,tacit,nc_machining,旋盤加工での切削抵抗を音と仕上げ面粗さで判断する技能,旋盤加工標準: 切削速度表|工具角度規格|抵抗増大時の調整手順,"[{""stage"": ""socialization"", ""description"": ""熟練者の作業観察と共同作業による暗黙知共有"", ""duration_days"": 18}, {""stage"": ""externalization"", ""description"": ""観察した技能を作業標準として文書化"", ""duration_days"": 9}]",0.7,0.65,0.68,L1,2024-02-01 00:00:00,2024-02-01 00:00:00
