id,user_id,task_id,level,work_target,machine,material_spec,change_factor,goal,created_at
1,3,1,15,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-01] 対象工程 L1-1: NC加工・レベル15対応,ボール盤（標準型）,S45C炭素鋼（一般用途）,加工開始後の寸法ばらつき発生,Ra 3.2以下達成、外観品質向上,2024-01-01T00:00:00Z
2,16,2,64,[職務カテゴリ: 安全管理・環境整備 / 分類コード: NC-A-02] 対象工程 L4-2: NC加工・レベル64対応,5軸複合加工機（DMG Mori NTX-2000）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,ナノ精度加工の実現（公差±0.001mm）,2024-01-01T00:00:00Z
3,11,3,43,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-03] 対象工程 L3-3: NC加工・レベル43対応,CNC研削盤（Studer S33）,Inconel 718耐熱合金（航空機エンジン部品用）,微細形状加工での工具たわみ（径0.5mm以下）,微細形状の寸法精度±0.002mm確保,2024-01-01T00:00:00Z
4,10,4,53,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-04] 対象工程 L3-4: NC加工・レベル53対応,CNC研削盤（Studer S33）,炭素繊維強化プラスチック（CFRP、積層構造）,高硬度材加工での工具寿命短縮（通常の1/3）,5軸加工での形状精度±0.005mm達成,2024-01-03T00:00:00Z
5,11,5,30,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-05] 対象工程 L2-5: NC加工・レベル30対応,研削盤（Toyoda GE4P）,AISI 4340鋼材（高強度グレード、HRC 30-35）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-03T00:00:00Z
6,4,6,14,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-06] 対象工程 L1-6: NC加工・レベル14対応,NC旋盤（Mazak QT-200）,AISI 4340鋼材（標準グレード）,加工開始後の寸法ばらつき発生,寸法公差±0.02mm以内、バリ発生抑制,2024-01-03T00:00:00Z
7,9,7,71,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-07] 対象工程 L4-7: NC加工・レベル71対応,5軸複合加工機（DMG Mori NTX-2000）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,難削材加工での安定生産確立（工具寿命100個以上）,2024-01-06T00:00:00Z
8,19,8,22,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-08] 対象工程 L2-8: NC加工・レベル22対応,NC旋盤（Okuma LB-3000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,サイクルタイム20%短縮、品質維持,2024-01-06T00:00:00Z
9,12,9,6,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-09] 対象工程 L1-9: NC加工・レベル6対応,汎用フライス盤（Mori Seiki NH-4000）,S45C炭素鋼（一般用途）,新規ロット材導入（ロット番号変更）,Ra 3.2以下達成、外観品質向上,2024-01-06T00:00:00Z
10,17,10,35,[職務カテゴリ: 材料選定・特性評価 / 分類コード: NC-A-10] 対象工程 L2-10: NC加工・レベル35対応,NC旋盤（Okuma LB-3000）,NAK80プリハードン鋼（HRC 37-43）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-07T00:00:00Z
