id,user_id,task_id,original_text,normalized_text,category,domain,value,unit,min_range,max_range,typical_value,precision,confidence,abstract_level,source,validated,notes,created_by,updated_by,created_at,updated_at
quant_001,1,1,切削速度の適切さ,切削速度,speed,machining,120.0,m/min,100.0,140.0,120.0,0,0.85,concrete,manual,true,L1基本切削条件,system,system,2020-01-01 00:00:00,2020-01-01 00:00:00
quant_002,1,1,バリの発生程度,バリ高さ,quality,machining,0.1,mm,0.0,0.5,0.1,2,0.75,concrete,manual,true,初品確認時の品質指標,system,system,2020-01-01 00:00:00,2020-01-01 00:00:00
quant_003,1,2,寸法のばらつき,寸法公差,tolerance,machining,0.02,mm,0.01,0.05,0.02,2,0.90,concrete,automatic,true,暖機後の精度,system,system,2020-01-08 00:00:00,2020-01-08 00:00:00
quant_004,1,2,機械暖機時間,暖機時間,time,machining,15.0,minute,10.0,30.0,15.0,0,0.85,concrete,manual,true,寸法安定化条件,system,system,2020-01-08 00:00:00,2020-01-08 00:00:00
quant_005,1,3,表面粗さ,表面粗さRa,quality,machining,3.2,Ra,2.0,4.0,3.2,1,0.80,concrete,automatic,true,基本品質基準,system,system,2020-01-15 00:00:00,2020-01-15 00:00:00
quant_006,1,3,送り速度,送り速度,feed,machining,0.15,mm/rev,0.10,0.25,0.15,2,0.85,concrete,manual,true,表面品質改善後,system,system,2020-01-15 00:00:00,2020-01-15 00:00:00
quant_007,1,4,切りくず長さ,切りくず長さ,waste,machining,5.0,mm,2.0,10.0,5.0,0,0.70,semi-abstract,hybrid,false,安全な切りくず処理,system,system,2020-01-22 00:00:00,2020-01-22 00:00:00
quant_008,1,5,工具摩耗量,工具摩耗VB,durability,machining,0.25,mm,0.0,0.3,0.25,2,0.82,concrete,hybrid,true,交換基準値,system,system,2020-01-29 00:00:00,2020-01-29 00:00:00
quant_009,1,5,工具寿命,工具寿命,durability,machining,60.0,minute,30.0,90.0,60.0,0,0.85,semi-abstract,automatic,true,標準使用条件,system,system,2020-01-29 00:00:00,2020-01-29 00:00:00
quant_010,1,6,材料硬度,材料硬度HRC,material,machining,30.0,HRC,28.0,32.0,30.0,0,0.90,concrete,manual,true,ロット間ばらつき範囲,system,system,2020-02-05 00:00:00,2020-02-05 00:00:00
quant_011,1,7,再研磨後粗さ,表面粗さRa,quality,machining,1.0,Ra,0.8,1.6,1.0,1,0.80,concrete,automatic,true,再研磨工具使用時,system,system,2020-02-12 00:00:00,2020-02-12 00:00:00
quant_012,1,8,クーラント圧力,クーラント圧力,cooling,machining,1.5,MPa,1.0,2.0,1.5,1,0.88,concrete,manual,true,SUS304加工推奨値,system,system,2020-02-19 00:00:00,2020-02-19 00:00:00
quant_013,1,8,切削速度低減率,速度低減率,adjustment,machining,15.0,percent,0.0,30.0,15.0,0,0.85,semi-abstract,hybrid,true,SUS304最適化,system,system,2020-02-19 00:00:00,2020-02-19 00:00:00
quant_014,1,9,Z軸送り精度,Z軸精度,precision,machining,0.01,mm,0.005,0.02,0.01,3,0.90,concrete,automatic,true,複合条件下の目標,system,system,2020-02-26 00:00:00,2020-02-26 00:00:00
quant_015,1,10,AI補正精度,補正精度,ai,machining,0.95,ratio,0.80,1.0,0.95,2,0.88,semi-abstract,automatic,true,リアルタイム補正性能,system,system,2020-03-04 00:00:00,2020-03-04 00:00:00
quant_016,1,11,真円度,真円度,precision,machining,0.005,mm,0.003,0.010,0.005,3,0.93,concrete,automatic,true,航空機部品要求精度,system,system,2020-03-11 00:00:00,2020-03-11 00:00:00
quant_017,1,11,チタン合金加工温度,加工温度,thermal,machining,250.0,celsius,200.0,300.0,250.0,0,0.85,concrete,automatic,true,熱変形管理,system,system,2020-03-11 00:00:00,2020-03-11 00:00:00
quant_018,1,12,薄肉部品変形量,変形量,deformation,machining,0.02,mm,0.0,0.05,0.02,2,0.88,concrete,automatic,true,弾性変形許容値,system,system,2020-03-18 00:00:00,2020-03-18 00:00:00
quant_019,1,12,アルミ合金肉厚,肉厚,dimension,machining,0.5,mm,0.3,1.0,0.5,1,0.92,concrete,manual,true,薄肉加工対象,system,system,2020-03-18 00:00:00,2020-03-18 00:00:00
quant_020,1,13,インコネル工具寿命,工具寿命,durability,machining,30.0,minute,20.0,50.0,30.0,0,0.78,semi-abstract,hybrid,true,難削材加工条件,system,system,2020-03-25 00:00:00,2020-03-25 00:00:00
quant_021,1,14,CFRP層間剥離,剥離発生率,quality,machining,0.0,percent,0.0,5.0,0.0,1,0.85,concrete,automatic,true,複合材料品質,system,system,2020-04-01 00:00:00,2020-04-01 00:00:00
quant_022,1,15,VR訓練効果,習得時間短縮率,training,education,40.0,percent,20.0,60.0,40.0,0,0.75,semi-abstract,hybrid,false,デジタル教育効果,system,system,2020-04-08 00:00:00,2020-04-08 00:00:00
quant_023,1,16,AI判断精度,判断精度,ai,education,0.90,ratio,0.70,0.99,0.90,2,0.82,semi-abstract,automatic,true,知識移転成功率,system,system,2020-04-15 00:00:00,2020-04-15 00:00:00
quant_024,1,1,初品不良率,不良率,quality,machining,5.0,percent,0.0,10.0,5.0,0,0.80,concrete,automatic,true,L1目標値,system,system,2020-04-22 00:00:00,2020-04-22 00:00:00
quant_025,1,3,縦筋発生率,欠陥発生率,quality,machining,2.0,percent,0.0,10.0,2.0,0,0.75,concrete,manual,false,表面品質問題,system,system,2020-04-29 00:00:00,2020-04-29 00:00:00
quant_026,1,6,工具寿命延長率,寿命延長率,performance,machining,20.0,percent,10.0,40.0,20.0,0,0.85,semi-abstract,hybrid,true,条件最適化効果,system,system,2020-05-06 00:00:00,2020-05-06 00:00:00
quant_027,1,8,送り速度増加率,速度増加率,adjustment,machining,20.0,percent,10.0,30.0,20.0,0,0.82,semi-abstract,hybrid,true,切りくず分断対策,system,system,2020-05-13 00:00:00,2020-05-13 00:00:00
quant_028,1,10,24時間安定性,稼働安定率,reliability,machining,0.98,ratio,0.90,1.0,0.98,2,0.90,abstract,automatic,true,量産対応性能,system,system,2020-05-20 00:00:00,2020-05-20 00:00:00
quant_029,1,11,温度補正効果,補正効果,performance,machining,0.95,ratio,0.80,1.0,0.95,2,0.88,semi-abstract,automatic,true,適応制御性能,system,system,2020-05-27 00:00:00,2020-05-27 00:00:00
quant_030,1,13,加工硬化深さ,加工硬化層,material,machining,0.05,mm,0.01,0.10,0.05,2,0.80,concrete,automatic,true,インコネル特性,system,system,2020-06-03 00:00:00,2020-06-03 00:00:00
