id,user_id,task_id,level,work_target,machine,material_spec,change_factor,goal,created_at,updated_at
1,1,1,1,[職務カテゴリ: 切削・初品確認 / 分類コード: MA-C-01] 対象工程 L1-1: 初品加工・基本寸法確認,NC旋盤（Mazak QT-200）,AISI 4340鋼材,新規ロット材導入（ロット番号: A-123）,初品寸法公差内維持、不良率5%以下,2020-01-01 00:00:00,2020-01-01 00:00:00
2,1,2,1,[職務カテゴリ: 切削・初品確認 / 分類コード: MA-C-01] 対象工程 L1-2: 寸法精度の安定化,NC旋盤（Mazak QT-200）,AISI 4340鋼材,加工開始後の寸法ばらつき発生,寸法公差±0.02mm以内、バリ発生抑制,2020-01-08 00:00:00,2020-01-08 00:00:00
3,1,3,1,[職務カテゴリ: 切削・初品確認 / 分類コード: MA-C-01] 対象工程 L1-3: 表面品質の改善,NC旋盤（Mazak QT-200）,AISI 4340鋼材,表面粗さの悪化傾向,Ra 3.2以下達成、外観品質向上,2020-01-15 00:00:00,2020-01-15 00:00:00
4,1,4,1,[職務カテゴリ: 切削・初品確認 / 分類コード: MA-C-01] 対象工程 L1-4: 切りくず処理の基本,NC旋盤（Mazak QT-200）,AISI 4340鋼材,切りくずの絡まり発生,連続切りくずの分断、安全な排出,2020-01-22 00:00:00,2020-01-22 00:00:00
5,1,5,1,[職務カテゴリ: 切削・初品確認 / 分類コード: MA-C-01] 対象工程 L1-5: 基本的な工具管理,NC旋盤（Mazak QT-200）,AISI 4340鋼材,工具摩耗による寸法変化,工具寿命の把握と適切な交換,2020-01-29 00:00:00,2020-01-29 00:00:00
6,1,6,2,[職務カテゴリ: 品質改善・条件最適化 / 分類コード: MA-Q-02] 対象工程 L2-1: 材料硬度変動への対応,NC旋盤（Mazak QT-200）,AISI 4340鋼材,ロット間での硬度ばらつき（HRC 28-32）,安定した加工品質の維持,2020-02-05 00:00:00,2020-02-05 00:00:00
7,1,7,2,[職務カテゴリ: 品質改善・条件最適化 / 分類コード: MA-Q-02] 対象工程 L2-2: 再研磨工具使用後の加工品質改善,NC旋盤（Mazak QT-200）,AISI 4340鋼材,研磨済み工具による面粗度の悪化傾向,Ra 1.0以下を安定して達成,2020-02-12 00:00:00,2020-02-12 00:00:00
8,1,8,2,[職務カテゴリ: 品質改善・条件最適化 / 分類コード: MA-Q-02] 対象工程 L2-3: SUS304への材質変更後の加工条件最適化,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼材,新材料により切りくず絡みと摩耗進行が急増,Ra 0.8以下、工具寿命の延伸と切りくず処理の安定化,2020-02-19 00:00:00,2020-02-19 00:00:00
9,1,9,2,[職務カテゴリ: 品質改善・条件最適化 / 分類コード: MA-Q-02] 対象工程 L2-4: SUS304対応の複合条件下における安定加工,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼材,振動＋冷却不足＋材質粘性が同時に悪影響,粗さRa 0.8以下とZ軸送り精度0.01mm以下の両立,2020-02-26 00:00:00,2020-02-26 00:00:00
10,1,10,2,[職務カテゴリ: 品質改善・条件最適化 / 分類コード: MA-Q-02] 対象工程 L2-5: SUS304量産加工に向けた自動補正・異常予測モデル導入,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼材,加工途中での条件逸脱と製品ばらつきが発生,Ra 0.8以下を24時間安定保持、自動補正アルゴリズムの有効性確認,2020-03-04 00:00:00,2020-03-04 00:00:00
11,1,11,3,[職務カテゴリ: 高精度加工・品質保証 / 分類コード: MA-H-03] 対象工程 L3-1: 真円度0.005mm以下の高精度加工,5軸マシニングセンタ（DMG MORI）,チタン合金 Ti-6Al-4V,航空機部品の厳格な品質要求,真円度0.005mm、面粗度Ra0.4以下,2020-03-11 00:00:00,2020-03-11 00:00:00
12,1,12,3,[職務カテゴリ: 高精度加工・品質保証 / 分類コード: MA-H-03] 対象工程 L3-2: 薄肉部品の変形制御,5軸マシニングセンタ（DMG MORI）,アルミニウム合金 A7075,肉厚0.5mmの薄肉加工,変形量0.02mm以内,2020-03-18 00:00:00,2020-03-18 00:00:00
13,1,13,4,[職務カテゴリ: 難削材加工・特殊技術 / 分類コード: MA-S-04] 対象工程 L4-1: インコネル718の高効率加工,5軸マシニングセンタ（DMG MORI）,インコネル718,超耐熱合金の加工,工具寿命向上と加工時間短縮,2020-03-25 00:00:00,2020-03-25 00:00:00
14,1,14,4,[職務カテゴリ: 難削材加工・特殊技術 / 分類コード: MA-S-04] 対象工程 L4-2: 複合材料（CFRP）の精密加工,5軸マシニングセンタ（DMG MORI）,CFRP（炭素繊維強化プラスチック）,層間剥離の防止,バリ・剥離なしの高品質加工,2020-04-01 00:00:00,2020-04-01 00:00:00
15,1,15,5,[職務カテゴリ: 技術指導・知識伝承 / 分類コード: MA-T-05] 対象工程 L5-1: 若手技術者への体系的指導,全設備,全材料,技術伝承の体系化,次世代技術者の育成,2020-04-08 00:00:00,2020-04-08 00:00:00
16,1,16,5,[職務カテゴリ: 技術指導・知識伝承 / 分類コード: MA-T-05] 対象工程 L5-2: AIシステムへの知識移転,全設備,全材料,熟練技能のAI化,人間の判断をAIで再現,2020-04-15 00:00:00,2020-04-15 00:00:00
