id,user_id,task_id,original_text,normalized_text,category,domain,value,unit,min_range,max_range,typical_value,precision,confidence,abstract_level,source,validated,notes,created_by,updated_by,created_at,updated_at
quant_001,1,1,切削速度の適切さ,切削速度,speed,machining,120.0,m/min,100.0,140.0,120.0,0,0.85,concrete,manual,true,L1基本切削条件,system,system,2020-01-01 00:00:00,2020-01-01 00:00:00
quant_002,1,1,バリの発生程度,バリ高さ,quality,machining,0.1,mm,0.0,0.5,0.1,2,0.75,concrete,manual,true,初品確認時の品質指標,system,system,2020-01-01 00:00:00,2020-01-01 00:00:00
quant_003,1,2,寸法のばらつき,寸法公差,tolerance,machining,0.02,mm,0.01,0.05,0.02,2,0.90,concrete,automatic,true,暖機後の精度,system,system,2020-01-08 00:00:00,2020-01-08 00:00:00
quant_004,1,2,機械暖機時間,暖機時間,time,machining,15.0,minute,10.0,30.0,15.0,0,0.85,concrete,manual,true,寸法安定化条件,system,system,2020-01-08 00:00:00,2020-01-08 00:00:00
quant_005,1,3,表面粗さ,表面粗さRa,quality,machining,3.2,Ra,2.0,4.0,3.2,1,0.80,concrete,automatic,true,基本品質基準,system,system,2020-01-15 00:00:00,2020-01-15 00:00:00
quant_006,1,3,送り速度,送り速度,feed,machining,0.15,mm/rev,0.10,0.25,0.15,2,0.85,concrete,manual,true,表面品質改善後,system,system,2020-01-15 00:00:00,2020-01-15 00:00:00
quant_007,1,4,切りくず長さ,切りくず長さ,waste,machining,5.0,mm,2.0,10.0,5.0,0,0.70,semi-abstract,hybrid,false,安全な切りくず処理,system,system,2020-01-22 00:00:00,2020-01-22 00:00:00
quant_008,1,5,工具摩耗量,工具摩耗VB,durability,machining,0.25,mm,0.0,0.3,0.25,2,0.82,concrete,hybrid,true,交換基準値,system,system,2020-01-29 00:00:00,2020-01-29 00:00:00
quant_009,1,5,工具寿命,工具寿命,durability,machining,60.0,minute,30.0,90.0,60.0,0,0.85,semi-abstract,automatic,true,標準使用条件,system,system,2020-01-29 00:00:00,2020-01-29 00:00:00
quant_010,1,6,材料硬度,材料硬度HRC,material,machining,30.0,HRC,28.0,32.0,30.0,0,0.90,concrete,manual,true,ロット間ばらつき範囲,system,system,2020-02-05 00:00:00,2020-02-05 00:00:00
quant_011,1,7,再研磨後粗さ,表面粗さRa,quality,machining,1.0,Ra,0.8,1.6,1.0,1,0.80,concrete,automatic,true,再研磨工具使用時,system,system,2020-02-12 00:00:00,2020-02-12 00:00:00
quant_012,1,8,クーラント圧力,クーラント圧力,cooling,machining,1.5,MPa,1.0,2.0,1.5,1,0.88,concrete,manual,true,SUS304加工推奨値,system,system,2020-02-19 00:00:00,2020-02-19 00:00:00
quant_013,1,8,切削速度低減率,速度低減率,adjustment,machining,15.0,percent,0.0,30.0,15.0,0,0.85,semi-abstract,hybrid,true,SUS304最適化,system,system,2020-02-19 00:00:00,2020-02-19 00:00:00
quant_014,1,9,Z軸送り精度,Z軸精度,precision,machining,0.01,mm,0.005,0.02,0.01,3,0.90,concrete,automatic,true,複合条件下の目標,system,system,2020-02-26 00:00:00,2020-02-26 00:00:00
quant_015,1,10,AI補正精度,補正精度,ai,machining,0.95,ratio,0.80,1.0,0.95,2,0.88,semi-abstract,automatic,true,リアルタイム補正性能,system,system,2020-03-04 00:00:00,2020-03-04 00:00:00
